RECORD	DAT	LRO	CTY	PLA	OSN	PAR	CAT	TYP	EAD	EAT	CMR	VAL	SUM	OSA	COV	AWC	TMD	SCL	SUR	SNM	CLS	CMD	MSS	BAF	MAT	DIM	STT	QUL	TRI	OFF	CHN	COL	RLY	RDS	TPK	ILU	SLU	RLU	QUA	SAN	UTL	MIL	CHH	PUB	PBG	SCH	PRG	RIV	CAN	LAK	HSE	FMY	WDS	PLS	COP	PKS	ARB	GRA	ORC	HPS	GNS	ORN	REC	HTS	CMN	RCK	HAC	SHD	FLD	STP	GLB	HDG	FNC	GAT	ABB	EBB	FBB	OBB	EST	ALL	NMS	NMR	FDN	FAO	FAN	CAR	BOR	NOP	SYM	COM	EXC
PRO 15639	20.10.1994	Westmorland RO WD/AG, box 111 - Kirkby Lonsdale exchange, 1874	WML	Kirkby Lonsdale	Kirkby Lonsdale		T	K		SD612785	49 SE		5	3253.51	X	Exchange under CTIC auspices, damp-damaged, so TMD is taken on trust.  1:500; some detail, e.g. steps, is presumably from other than 1:2500?  SUM is arbitary estimate.	02.02.1874	0.63	CTIC				M	C	P	50 X 67	X	G+				RK												IN																																						Y					Y	1		Chapel, Right of Road, archways (X), steps to buildings.	
PRO 18051	15.11.1995	NRO Hayes & Storr map no. 32	NFK	Colkirk	Colkirk		-	K		TF917267	146 NE		5	1563.77	X	Advertised in card index as glebe exchange map, late C19: which it appears to be. Post OS, with OS parcels and areas.  SUM is an arbitary estimate.	01.01.1001	3.16					M	C	L	53 X 96	X	G				BRK																																							Y																	1			
PRO 13796	09.12.1993	GHL MS 882 [in MS dept]	LON	St Benet, Paul's Wharf	St Benet		P	R		TQ320809	L.62.SE.3-4	William Hudson, Architect & Surveyor, 19 Bennets Hill, Doctors Commons	5.367	5.36	Y	Bound in volume with valuation, dated 1851, by order of the Poor Law Commissioners.  Columns for: Number of Assessment; Name of Occupier; Description of Property; Rateable Value.  At GHL M.67/BEN(1) is a copy, possibly a much later lithograph, uncoloured, and omitting the sinuous boundary, even when it cuts through buildings.	13.03.1852	0.291666667	Wm Hudson				M	X	P	50 X 73	V	VG				BRWX - public streets grey (sidewalks white), yards etc sienna, buildings and water usual, but public buildings kharki, garden (doctors commons) and churchyard) green.																																															D			Y					Y	1		Steps (depicted), Public Stairs (not depicted), Vestry, named wharfs, Heralds College, Doctors Commons, Church Yard.  Would make good colour photo.	
PRO 17447	09.09.1995	Suffolk RO FB 97/C3/1	SFK	Rushmere St Andrew	Rushmere St Andrew		P	K		TM209448	207 SE		5.487	2184.72	X	Yet another mind-blowingly exciting glebe exchange under CTIC auspices.  How can these guys stand the tension?!  2:3:29 + 2:2:9.	02.02.1873	3	CTIC				M	C	C	60 X 49	L	G				RK																																																	Y						Y	1			
PRO 13806	09.12.1993	GHL 25/AND	LON	St Andrew by the Wardrobe	St Andrew by the Wardrobe		P	P		TQ319808	L.62.SW.1		5.642	5.64	Y		01.07.1851	0.375	Tress & Chambers, 23 Little St Thomas the Apostle	BF			M	X	P	80 X 58	V	VG				SLPX - coloured drawing; parish property hatched red; multi-colour trees.												N			R				Y		YT - churchyard.																								B					Y					Interlaced corners.	1	Church, figures, in drawing.	Dock, named wharfs, house numbers, British and Foreign Bible Society, steps, School (Infants).  There is a fine pen and coloured wash drawing of the church, with figures, bottom right.  Legend explains conventions, including buildings, sheds (HSE), right of way, boundary marks (asterisks).	
PRO 13814	10.12.1993	GHL Map Case 22	LON	St Andrew by the Wardrobe	St Andrew by the Wardrobe		P	P		TQ319808	L.62.SW.1		5.642	5.64	Y	Map badly faded, wih some sort of protective covering; barely legible, and TMD and SUR are faded.	01.01.1001	1:240					M	X	P	88 X 121	X	G				BWP - cartouche, discoloured.																N																																		Y				Title on gravestone-like tablet; title itself within oval, with flat vase with bell-petals above and gorse-like fronds below, coloured.	Y	1		Wharfs, named, Vacant Ground.  Some tenantry information.	
PRO 18182	12.06.1996	St John's College, Cambridge, MPS 49	YOE	Marfleet	Marfleet		-	K		TA141292	81 NW		6.475	1285.49	X	Signed by Chairman of Committee, [Hull] Trinity House, 29 August 1832.  3:0:38+3:0:38.   Various lettering styles in title, but no gothic.  [CAT is P and T on OS 6-inch 1st edition.]	01.01.1832	3	Geo. Wilkinson, Land Surveyor, Hull				M	C	P	49 X 37	O	G				RWK																																															L	R				R			Y	1			
PRO 14090	23.02.1994	Essex RO D/DGe P47	ESX	Lingwood Common, Danbury	Danbury [Lingwood Common]	Danbury	-	E		TL773061	241 SW		6.569	2975.36	X	Private enclosure, not in Tate and Turner: no award.  Total of the single allotment:  6:2:11, `less Roads'.	01.01.1856	1			A		M	A	P	53 X 46	X	G-				N																																																					Y			1		Rather bald.	
PRO 12969	01.09.1993	PRO MAF 1/1063	HMP	Petersfield	Petersfield		P	E	This was not enrolled in the county records; Hampshire Record Office has a photocopy, Q23/2/109.	SU743236	300 SE, 316 NE	Richard Wakeford Attree, Liss, Hampshire, Land Surveyor	7	1819.67	X	Map is similar to 12970, covering Petersfield Heath in Petersfield parish.	01.01.1857	2	Mr R.W. Attree, Valuer and Surveyor, No. 8, Cannon Row, Westminster		1	02.07.1863	M	A	P	101-111 X 55 - protrusion on west.	PE	G	Y			RWCELPU		Y					B				C							N			YU - grey shadow.																								T					Y					Y	1		North pointer has diadem and plumes, cross-banner for east and west, and feathery tail.  Boundary stones.  Buildng frontages and trees are shadowed grey.	
PRO 13145	14.09.1993	PRO MAF 1/822	STF	Whiston - Beacon Hill Common	Whiston	Penkridge	-	E	Staffordshire RO has the county enrolled copy, Q/RDc 98.	SJ895137	153 NE	John Bright, Castle Church, Staffordshire, Land Surveyor	7	10782.70	X	This is map A of the Beacon Hill enclosure; for map B see 13144.  District is in township of Whiston in parish of Penkridge.  [OSA is for Penkridge.]	01.05.1862	2	John Bright		1	20.10.1862	M	A	P	52 X 38	PE	G+				EAU																		Y																											T		L								Y	2		There is a 1-chain enlargement of detail (it needs it!).  Lakes are ruled black, cf J.B.H.Bennett.  Map is dated 5:62.	
PRO 17431	08.09.1995	Lowestoft RO HA 12/D27/4	SFK	All Saints and Saint Nicholas, Southelmham	All Saints South Elmham, St Nicholas South Elmham		P	K		TM330830	176 SW		7.15	1640.75	X	Usual glebe exchange under CTIC auspices.   3:2:6 + 3:2:16.	02.02.1862	4	CTIC				M	C	C	63 X 48	OC	G				RK											PT				P - old.																																								Y	1			
PRO 13809	09.12.1993	GHL M.341/LAW	LON	St Lawrence, Jewry, and St Mary Magdalen Milk Street	St Lawrence Jewry and St Mary Magdalen		UP	P		TQ324813	L.62.NE.4,SE.2		7.456	7.45	Y	[OSA: St Lawrence, Jewry, 5.732; St Mary Magdalen, Milk Street, 1.724.]	01.01.1862	0.541666667	J. Young & Son, Architects & Surveyors, 35 King St, Cheapside, E.C.				L	X	P	61 X 50	X	VG				RX - st lawrence pink, st mary blue, areas outside grey, church yard green.												TIN																																			F			Y					Standidge corners.	1		House numbers, Coffee House, Chambers.  Waterlow & Sons, Lith., London, with hand colour, including boundary marks in red (St Lawrence) and blue (St Mary).  Guildhall, Justice Room, Gresham College, City of London School.  Larger firms named, e.g. Pickford & Co., Chaplin & Horne.	
PRO 13057	08.09.1993	PRO MAF 1/948	YOW	Halifax - High Road Well Moor	Halifax		B	C	The county enrolled copy is at WRRO, WYAS CP Wakefield A84A.	SE069250	77 NW	Benjamin Whitehead Jackson, Halifax, Yorkishire [sic]	8	998.60	E	Tate and Turner say that this is a borderline case: the local act permits the conversion of the moor into a public park, so it could be either enclosure or common regulation.  [OSA is for Halifax township.]	02.02.1896	3.16					M	C		55 X 48	PE					N																																																								1		OS 1:2500 230.12 (part), uncoloured, common in green.	
PRO 13029	07.09.1993	PRO MAF 1/953	HRE	Upleadon	Swinmore Common	Bosbury	-	E	Herefordshire Record Office has the county enrolled copy, Q/RI/5.	SO675417	199 SW	Philip Baylis, Ledbury, Herefordshire, Land Surveyor	9	4824.90	X	District is `Division' in Bosbury.	02.02.1864	3			1	16.03.1865	M	A	P	38 X 32	PE	OK				A																																	N												BT		L			Y					Y	1		Chapel.  A working plan, tho' trigless.	
PRO 13075	09.09.1993	PRO MAF 1/913	WLT	Holt	Holt	Bradford	Y or H	E	Wiltshire Record Office has the county enrolled copy, EA 189.	ST866619	281 NE	Francis Attwood, The Close, New Sarum, Wiltshire, Land Surveyor	9	10207.84	X	[OSA is for Bradford.]	02.02.1866	2			1	09.05.1867	M	A	P	87 X 57	PE	G				EAX - rights of soil allotment.		Y	N															Y															N																	F					Y	1		Parish Pound.	
PRO 13347	28.09.1993	PRO MAF 1/638	NTB	Eachwick	Eachwick	Heddon on the Wall	T	E	The county enrolled copy is at Northumberland RO, QRA 15/1.	NZ116711	14 SW	Thomas Bell, Newcastle upon Tyne, Northumberland, Land Surveyor	9	984.31	X		02.02.1853	2	Thomas Bell and Sons, Surveyors		1	14.07.1854	M	A	P	100 X 63	PE	G-	Y			CUX - new pipe; detail from old plan.																N					Y																								T		L									1		Well; `Proposed Pipe of Watercourse', which with following note are in blue: `Note.  Part of the broken lines above which are drawn in Blue are put on from the measurements on the Old Plan, the fences of the Old Boundary of the Common being at those points wholly removed.'  This has been struck through in pencil.	
PRO 13832	13.12.1993	Sur RO Q.S. 6/4/13(1)	SUR	Penge [canal]	Penge	Battersea	H	E		TQ348698	270 E		9.187	770.01	X	`Award of the Commissioners under the Croydon Canal Act respecting Penge Common' appears on back.  Total area given as 9:0:30 on map.  Canal and its two feeders only.  This is not in Tate and Turner.  [OSA is for Battersea (det).]	02.02.1812	4					M	A	C	24 X 56 (map area only)	CE	G				RW				DPWX - towpath width.													YWT - + towpath width.																							B							L								Y	1		Feeders, with widths, sluices.  Buildings not infilled.	
PRO 13813	10.12.1993	GHL Map Case 10 [MS 4105/2]	LON	St Peter le Poor	St Peter le Poor		P	P		TQ329813	L.63.NW.3, SW.1		9.319	9.31	Y		01.01.1876	0.208333333	Joseph Hewitt, Architect and Surveyor, 10 Great Winchester St, E.C.				M	X	P	129 X 96	X	G				BRLPX - grey infill of title and street and some building names; sidewalks darker sienna than roads, covered ways lighter carmine than buildings, but drapers hall is darker carmine, as os practice.																					Y					Y																							Y	Y						1		Building depiction similar to OS 1:500, with layouts of the parish church and Dutch Chapel shown, but not the pews; layout and some rooms at Drapers Hall and `parish buildings', name only at City of London Club, National Bank and some Buildings, e.g. Gresham House. House numbers, `B.P.' numerously, steps, `C.Y.' (court yard) frequently.  Not all property divisions seem to be shown. Scale is 1 inch to about 22.5 feet; 1:240 may be correct.	
PRO 13073	09.09.1993	PRO MAF 1/911	GLO	Bromsberrow Heath	Bromsberrow	Dymock	-	E	Gloucestershire RO also has the county enrolled copy, Q/RI 59, and the parish copy, P.125 SD 1/2.	SO739330	216 NW	William Fosbrooke, St Nicholas, Hereford, Land Surveyor	10	7008.86	X	District is in Ryeland Division of Parish of Dymock.  [OSA is for Dymock.]	02.02.1865	2			1	20.12.1866	M	A	P	89 X 54	PE	G	Y			BCA - a footpath sienna.		Y	T																Y																						B	F	P		T							Y				1		Blue Bell (pub?), boundary Stones and Trees (types given, including Sally Tree), School.	
PRO 13455	02.11.1993	PRO MAF 1/307	HMP	Crofton	Hill Head	Titchfield	M	E	The county enrolled copy is at Hampshire Record Office, Q23/2/128.	SU545019	316 SW, 331 NW	Richard Wooldridge, Titchfield, Hampshire, Land Surveyor	10	15782.68	X	[OSA is for Titchfield parish.]	01.01.1862	3	John Waters, Landsurveyor, Salisbury, for J.W. Blackman, Fareham		1	15.08.1867	M	C	P	130 X 104	PE	G																							Y																					B		P			A										Y	12		There is a 12-chain index to the various parts.	
PRO 14035	15.02.1994	Kent RO Q/RDc 30	KNT	Dartford Brent	Dartford	Dartford	-	C		TQ552737	271 NE		10	4251.33	X	Not an enclosure in the usual sense; rather an application for a declaration as to which parts of a supposed common were in fact available for public recreation.  Under special act, 40-41 Vict.  Not in PRO MAF 1 or MAF 25.	02.02.1880	3.16	CTIC				M	C	C	35 X 27 (map area only).	CE	G				RWU										D								Y			Y											Y			F															F					Y	1		Reservoir.  Map is usual CTIC style, with OS area numbers, drawn direct onto the award.	
PRO 14319	07.04.1994	WSRO Par. 42/7/5	SSX	Chichester, St Pancras	Chichester		P	X		SU867050	317 SW		10	139.05	X	`Plan of the number of Houses in the Parish of Saint Pancras Chichester Sussex 1862'.  Purpose of map is uncertain; it is classified with incumbent's miscellany.  It dosen't seem to be rating.   Numbers run from 1 to 266 and are to a missing reference rather than house-numbers in a street.  SUM is arbitary.	01.01.1862	1.5*					M	X	P	132 X 53	X	G-				BRWX - buildings blue-grey; church is darker blue-grey.					Y												Y												A																		L			Y					Y	2		Shop and Store, Breweries, Corn Exchange, Pump, Wesleyan Chapel, Barn, Leprosy House, St James' Post, Infants School (Play Ground).	
PRO 14436	14.04.1994	Cambs RO Ely Quarter Sessions Records [uncatalogued]	CAM	Coveney	Coveney		P	K		TL489821	173 SW		10	3170.26	X	Exchange of lands: map drawn on the award.  SUM is arbitary.	01.01.1871	3	[CTIC]				M	A	C	22 X 21 (map only)	CE	G				BRO - buildings grey.															R																														T											1		School.	
PRO 15135	22.07.1994	Worcs RO [FS] f850 ARELEY KINGS (1306)	WOR	Areley Kings	Areley Kings		P	K		SO804708	182 NW		10	1503.18	E	Exchange, usual style; map is drawn onto the deed.  SUM is a rather arbitary estimate.	02.02.1866	3	CTIC				M	C	C	25 x 28	L	G				RK															R																														T										Y	1			
PRO 16198	27.01.1995	Staffs RO D695/1/12/19	STF	Pensnett Chase	Pensnett	Kingswinford	-	E	The parent mapping may be that described at 16731.	SO905894	167 NE		10	7371.84	X	Fragment only, covering a road and less than 10 acres of other land, `Copy from Pensnett Chase Inclosure Plan March 1820', presumably the mapless Kingswinford enclosure of 1784-7.  `Scale 25'.  [OSA is for Kingswinford.]	01.03.1820	2.5					M	A	P	43 X 33	UU	G				R																																															L	Y	Y				Y		Y	1			X
PRO 17413	06.09.1995	WSRO FC 526/3/14	SFK	Great Barton	Great Barton		P	K		TL891669	189 E		10	3763.63	E		02.02.1869	2	CTIC				M	C	C	36 X 24 (map area only).	L	G				BRK - buildings grey.				F											V						Y																																		Y	1		Fence distances in links.	
PRO 13794	09.12.1993	GHL MS 21,566 [in MS dept]	LON	St Olave Hart St	St Olave		P	P		TQ336808	L.63.SW.4		10.345	10.34	Y	Map is accompanied by a list of boundary marks; this seems to be its main function.	01.07.1900	0.291666667	William H. Chantry, Architect & Surveyor, 30 Essex St, Strand, London, W.C.	B			M	X	P	132 X 79	V	G				BRUX - railway grey, railway names and boundary plates in red.	YNRST			B - one boundary length.								HPTN																																						Y					Concave corners.	1		Churchyard, Corn Exchange, Warehouses, Bonded Warehouses, Tea Warehouses, steps (in plan), Booking Office.  House numbers.  Note explains boundary conventions: one length in feet and inches.   Dated 7:1900.	
PRO 13885	17.12.1993	GHL [no number]	LON	Allhallows Barking	Allhallows Barking		P	P		TQ334807	L.63.SW.4		10.909	10.90	Y		01.01.1898	0.388888889	William E. Clifton, F.R.I.B.A., F.S.I., Architect & Surveyor, 7 East India Avenue, Leadenhall St, E.C.				M	X	P	101 X 76	V	G				RWL	S				Y							NPT				N								YT - public gardens: tinted green.																															Y	1		Church shown in plan with windows; Corn Exchange in plan, without windows.  Other buildings not infilled.  Custom House and Wool Quays, Docks, Printing Works, Site of the Scaffold, Entrance to the Tower, former Police Station, General Steam Navigation Company's Offices, Churchyard, Tower Stairs.  Vicar, Churchwardens, Overseers, Vestry Clerk named.   Some steps and stairs.	
PRO 15274	11.08.1994	Shropshire RO QE/1/2/39	SHR	Noneley	Noneley	Loppington	T	E		SJ487279	138 NW		11	3466.05	X	Cannot find SUR in award: commissioner was Valentine Vickers, Cranmore, Somerset.  Map is drawn directly onto award.  Estimated acreage of 11 is about right.	02.02.1818	1					M	A	C	32 x 58 (map area only).	CE	OK+				RN																																													T			R					R		Y	1			
